<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/new lancs.mobilemedia.core.ui.controller.ScreenSingleton/0	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/$r2
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,java.lang.String)>/@this
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: lancs.mobilemedia.core.ui.screens.CaptureVideoScreen getCpVideoScreen()>/@this
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void setCpVideoScreen(lancs.mobilemedia.core.ui.screens.CaptureVideoScreen)>/@this
lancs.mobilemedia.sms.SmsReceiverThread::: (Mock)	<lancs.mobilemedia.sms.SmsReceiverThread: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,lancs.mobilemedia.sms.SmsReceiverController)>/@this
lancs.mobilemedia.sms.SmsReceiverThread::: (Mock)	<lancs.mobilemedia.sms.SmsReceiverThread: void run()>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void <init>(javax.microedition.lcdui.Image)>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setImage(byte[])>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: byte[] getImage()>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: boolean isFromSMS()>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setFromSMS(boolean)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void <init>()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String[] getAlbumNames()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData[] getMedias(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void createNewAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addPassword(java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: java.lang.String getPassword(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void deleteAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addNewMediaToAlbum(java.lang.String,java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void deleteMedia(java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void resetMediaData()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData getMediaInfo(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: lancs.mobilemedia.core.ui.datamodel.MediaData[] loadMediaDataFromRMS(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: boolean updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: byte[] loadMediaBytesFromRMS(java.lang.String,int)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addVideoData(java.lang.String,java.lang.String,byte[])>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.AlbumData: void addImageData(java.lang.String,byte[],java.lang.String)>/@this
lancs.mobilemedia.core.util.Constants::: (Mock)	<lancs.mobilemedia.core.util.Constants: void <init>()>/@this
lancs.mobilemedia.core.ui.controller.PlayVideoController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PlayVideoController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,javax.microedition.lcdui.List,lancs.mobilemedia.core.ui.screens.PlayVideoScreen)>/@this
lancs.mobilemedia.core.ui.controller.PlayVideoController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PlayVideoController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this
lancs.mobilemedia.core.ui.controller.PlayVideoController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PlayVideoController: java.lang.String getMediaName()>/@this
lancs.mobilemedia.core.ui.controller.PlayVideoController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PlayVideoController: void setMediaName(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void <init>(java.lang.String,java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void loadAlbums()>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void addMediaData(java.lang.String,java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void addPassword(java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: java.lang.String getPassword(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: lancs.mobilemedia.core.ui.datamodel.MediaData[] loadMediaDataFromRMS(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: boolean updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: lancs.mobilemedia.core.ui.datamodel.MediaData getMediaInfo(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void setMediaInfo(java.lang.String,lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: byte[] loadMediaBytesFromRMS(java.lang.String,int)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: boolean deleteSingleMediaFromRMS(java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void createNewAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void deleteAlbum(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: java.lang.String[] getAlbumNames()>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: java.util.Hashtable getMediaInfoTable()>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaAccessor: void setMediaInfoTable(java.util.Hashtable)>/@this
lancs.mobilemedia.core.ui.controller.VideoCaptureController::: (Mock)	<lancs.mobilemedia.core.ui.controller.VideoCaptureController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,javax.microedition.lcdui.List,lancs.mobilemedia.core.ui.screens.CaptureVideoScreen)>/@this
lancs.mobilemedia.core.ui.controller.VideoCaptureController::: (Mock)	<lancs.mobilemedia.core.ui.controller.VideoCaptureController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.lib.exceptions.ImageNotFoundException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImageNotFoundException: java.lang.Throwable getCause()>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor: void <init>(lancs.mobilemedia.core.ui.datamodel.AlbumData)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor: void resetRecordStore()>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor: void addImageData(java.lang.String,byte[],java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.ImageMediaAccessor: javax.microedition.lcdui.Image loadSingleImageFromRMS(java.lang.String,int)>/@this
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor: void <init>(lancs.mobilemedia.core.ui.datamodel.AlbumData)>/@this
