<Main: void main(java.lang.String[])>	@ Prog
<Graph: void startProfile()>	@ Benchmark
<Graph: void stopProfile()>	@ Benchmark
<Graph: void resumeProfile()>	@ Benchmark
<Graph: void endProfile()>	@ Benchmark
<Graph: void <clinit>()>	@ Benchmark
<EdgeIter: void <init>()>
<EdgeIter: boolean hasNext()>
<EdgeIter: EdgeIfc next()>
<GlobalVarsWrapper: void <init>()>
<CycleWorkSpace: void <init>()>
<CycleWorkSpace: void init_vertex(Vertex)>	@ Cycle
<CycleWorkSpace: void preVisitAction(Vertex)>
<CycleWorkSpace: void postVisitAction(Vertex)>	@ Cycle
<CycleWorkSpace: void checkNeighborAction(Vertex,Vertex)>
<Graph$EdgeIter1: EdgeIfc next()>	@ EdgeObjects
<Graph$EdgeIter1: boolean hasNext()>	@ EdgeObjects
<VertexIter: Vertex next()>
<VertexIter: boolean hasNext()>
<Vertex$VertexIter1: Vertex next()>	@ G_NoEdges
<Vertex$VertexIter1: boolean hasNext()>	@ G_NoEdges
<Vertex$VertexIter2: Vertex next()>	@ GN_OnlyNeighbors
<Vertex$VertexIter2: boolean hasNext()>	@ GN_OnlyNeighbors
<Graph$Comparator3: int compare(EdgeIfc,EdgeIfc)>	@ MSTKruskal
<Graph$Comparator3: int compare(java.lang.Object,java.lang.Object)>
<Main: void <init>()>
<Vertex$VertexIter3: Vertex next()>	@ GEN_Edges
<Vertex$VertexIter3: boolean hasNext()>	@ GEN_Edges
<WorkSpaceTranspose: void <init>()>
<WorkSpaceTranspose: void preVisitAction(Vertex)>	@ StronglyConnected
<WorkSpaceTranspose: void nextRegionAction(Vertex)>	@ StronglyConnected
<Vertex: Vertex assignName(java.lang.String)>
<Vertex: java.lang.String getName()>
<Vertex: void addAdjacent(Vertex)>	@ G_NoEdges
<Vertex: void adjustAdorns(Vertex,int)>	@ G_NoEdges
<Vertex: VertexIter getNeighbors()>	@ G_NoEdges
<Vertex: Vertex getStart()>	@ (Undirected /\ G_NoEdges)
<Vertex: Vertex getEnd()>	@ G_NoEdges
<Vertex: int getWeight()>	@ G_NoEdges
<Vertex: Vertex getOtherVertex(Vertex)>	@ G_NoEdges
<Vertex: void adjustAdorns(EdgeIfc)>	@ G_NoEdges
<Vertex: void addEdge(Neighbor)>	@ GN_OnlyNeighbors
<Vertex: void adjustAdorns(Neighbor)>	@ GN_OnlyNeighbors
<Vertex: void addNeighbor(Neighbor)>	@ GEN_Edges
<Vertex: EdgeIter getEdges()>	@ (EdgeObjects /\ G_NoEdges)
<Vertex: java.util.LinkedList getNeighborsObj()>	@ GN_OnlyNeighbors
<Vertex: void addWeight(int)>	@ Weighted
<Vertex: void setWeight(int)>	@ (Weighted /\ G_NoEdges)
<Vertex: void init_vertex(WorkSpace)>	@ SearchBase
<Vertex: void nodeSearch(WorkSpace)>
<Vertex: void display()>
<Graph: VertexIter getVertices()>
<Graph: EdgeIter getEdges()>
<Graph: void sortVertices(java.util.Comparator)>
<Graph: void sortEdges(java.util.Comparator)>	@ EdgeObjects
<Graph: void addEdge(Vertex,Neighbor)>	@ GN_OnlyNeighbors
<Graph: void runBenchmark(java.lang.String)>	@ Benchmark
<Graph: void stopBenchmark()>	@ Benchmark
<Graph: int readNumber()>	@ Benchmark
<Graph: void run(Vertex)>
<Graph: EdgeIfc findsEdge(Vertex,Vertex)>	@ EdgeObjects
<Graph: void graphSearch(WorkSpace)>
<Graph: void numberVertices()>	@ Number
<Graph: void connectedComponents()>	@ Connected
<Graph: Graph strongComponents()>
<Graph: Graph computeTranspose(Graph)>	@ Transpose
<Graph: boolean cycleCheck()>	@ Cycle
<Graph: Graph kruskal()>
<Graph: Graph prim(Vertex)>
<WorkSpace: void <init>()>
<WorkSpace: void init_vertex(Vertex)>	@ SearchBase
<WorkSpace: void preVisitAction(Vertex)>	@ SearchBase
<WorkSpace: void postVisitAction(Vertex)>	@ SearchBase
<WorkSpace: void nextRegionAction(Vertex)>	@ SearchBase
<WorkSpace: void checkNeighborAction(Vertex,Vertex)>	@ SearchBase
