1.0	var points-to (INS)	86936
1.5	var points-to (SENS)	86936
10.0	reachable variables (INS)	19074
10.5	reachable variables (SENS)	19074
2.0	array index points-to (INS)	777
2.5	array index points-to (SENS)	777
6.0	app array index points-to (INS)	742
6.5	app array index points-to (SENS)	742
3.0	instance field points-to (INS)	120206
3.5	instance field points-to (SENS)	120206
4.0	static field points-to (INS)	260
4.5	static field points-to (SENS)	260
7.0	app instance field points-to (INS)	115183
7.5	app instance field points-to (SENS)	115183
8.0	call graph edges (INS)	9225
8.5	call graph edges (SENS)	9225
9.0	non-reachable app concrete methods	108
11.0	reachable methods (INS)	1994
11.5	reachable methods (SENS)	1994
12.0	virtual call sites (statically)	6690
13.0	reachable virtual call sites	6173
14.0	polymorphic virtual call sites	128
15.0	null virtual call sites	1249
15.5	empty virtual call sites	775
16.0	app virtual call sites (statically)	6690
17.0	app reachable virtual call sites	6173
18.0	app polymorphic virtual call sites	128
19.0	app null virtual call sites	1249
19.5	app empty virtual call sites	775
20.0	casts (statically)	862
21.0	reachable casts	159
22.0	reachable casts that may fail	149
23.0	app casts (statically)	862
24.0	app reachable casts	159
25.0	app reachable casts that may fail	149
25.5	app reachable methods	1826
60.0	Entry Points	1208
61.0	Mock Objects	221
61.1	Mock Objects for Receivers	207
61.2	Mock Objects for Fields	0
61.3	Mock Objects for Arrays	4
61.4	Mock Objects for Formals	60
