<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/new lancs.mobilemedia.core.ui.controller.ScreenSingleton/0	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.controller.ScreenSingleton getInstance()>/$r2
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor: void <init>(lancs.mobilemedia.core.ui.datamodel.AlbumData)>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor: void resetRecordStore()>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor: void addVideoData(java.lang.String,java.lang.String,byte[])>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoMediaAccessor: byte[] inputStreamToBytes(java.io.InputStream)>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void <init>(javax.microedition.lcdui.Image)>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setImage(byte[])>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: byte[] getImage()>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: boolean isFromSMS()>/@this
lancs.mobilemedia.core.ui.screens.PhotoViewScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PhotoViewScreen: void setFromSMS(boolean)>/@this
lancs.mobilemedia.lib.exceptions.ImagePathNotValidException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImagePathNotValidException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.ImagePathNotValidException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImagePathNotValidException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.ImagePathNotValidException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImagePathNotValidException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.lib.exceptions.ImagePathNotValidException::: (Mock)	<lancs.mobilemedia.lib.exceptions.ImagePathNotValidException: java.lang.Throwable getCause()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoAlbumData: void <init>()>/@this
lancs.mobilemedia.core.ui.datamodel.VideoAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.VideoAlbumData: java.io.InputStream getVideoFromRecordStore(java.lang.String,java.lang.String)>/@this	@ x_MusicOrVideo
lancs.mobilemedia.core.util.MediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MediaUtil: void <init>()>/@this
lancs.mobilemedia.core.util.MediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MediaUtil: byte[] readMediaAsByteArray(java.lang.String)>/@this
lancs.mobilemedia.core.util.MediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MediaUtil: lancs.mobilemedia.core.ui.datamodel.MediaData getMediaInfoFromBytes(byte[])>/@this
lancs.mobilemedia.core.util.MediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MediaUtil: byte[] getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: void <init>(java.lang.String)>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: java.lang.String getItemName()>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: void setItemName(java.lang.String)>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: java.lang.String getPath()>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: void setLabePath(java.lang.String)>/@this
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: java.lang.String getItemType()>/@this	@ x_NotPrivacy
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: byte[] getCapturedMedia()>/@this	@ includePrivacy
lancs.mobilemedia.core.ui.screens.AddMediaToAlbum::: (Mock)	<lancs.mobilemedia.core.ui.screens.AddMediaToAlbum: void setCapturedMedia(byte[])>/@this	@ includePrivacy
lancs.mobilemedia.core.util.MusicMediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MusicMediaUtil: void <init>()>/@this
lancs.mobilemedia.core.util.MusicMediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MusicMediaUtil: byte[] getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)>/@this	@ Photo
lancs.mobilemedia.core.util.MusicMediaUtil::: (Mock)	<lancs.mobilemedia.core.util.MusicMediaUtil: lancs.mobilemedia.core.ui.datamodel.MediaData getMultiMediaInfoFromBytes(byte[])>/@this	@ Photo
lancs.mobilemedia.core.ui.controller.VideoCaptureController::: (Mock)	<lancs.mobilemedia.core.ui.controller.VideoCaptureController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,javax.microedition.lcdui.List,lancs.mobilemedia.core.ui.screens.CaptureVideoScreen)>/@this	@ includeCopyPhoto
lancs.mobilemedia.core.ui.controller.VideoCaptureController::: (Mock)	<lancs.mobilemedia.core.ui.controller.VideoCaptureController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this	@ includeCopyPhoto
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,int)>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void startCapture()>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void pauseCapture()>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: byte[] getByteArrays()>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: byte[] takePicture()>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void keyPressed(int)>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void paint(javax.microedition.lcdui.Graphics)>/@this
lancs.mobilemedia.core.ui.screens.CaptureVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.CaptureVideoScreen: void setVisibleVideo()>/@this
lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidArrayFormatException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: lancs.mobilemedia.core.ui.screens.SelectTypeOfMedia getMainMenu()>/@this	@ MobilMedia
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: void setMainMenu(lancs.mobilemedia.core.ui.screens.SelectTypeOfMedia)>/@this	@ MobilMedia
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: void setCurrentScreenName(java.lang.String)>/@this
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: java.lang.String getCurrentScreenName()>/@this
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: void setCurrentStoreName(java.lang.String)>/@this
lancs.mobilemedia.core.ui.controller.ScreenSingleton::: (Mock)	<lancs.mobilemedia.core.ui.controller.ScreenSingleton: java.lang.String getCurrentStoreName()>/@this
lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException::: (Mock)	<lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException::: (Mock)	<lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException::: (Mock)	<lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException::: (Mock)	<lancs.mobilemedia.lib.exceptions.UnavailablePhotoAlbumException: java.lang.Throwable getCause()>/@this
lancs.mobilemedia.lib.exceptions.InvalidPhotoAlbumNameException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidPhotoAlbumNameException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.InvalidPhotoAlbumNameException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidPhotoAlbumNameException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.core.ui.screens.PlayMediaScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayMediaScreen: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,java.io.InputStream,java.lang.String,lancs.mobilemedia.core.ui.controller.AbstractController)>/@this
lancs.mobilemedia.core.ui.screens.PlayMediaScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayMediaScreen: void itemStateChanged(javax.microedition.lcdui.Item)>/@this
lancs.mobilemedia.core.ui.screens.PlayMediaScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayMediaScreen: void startPlay()>/@this
lancs.mobilemedia.core.ui.screens.PlayMediaScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayMediaScreen: void pausePlay()>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.InvalidImageFormatException::: (Mock)	<lancs.mobilemedia.lib.exceptions.InvalidImageFormatException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void <init>(int,java.lang.String,java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: int getRecordId()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setRecordId(int)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: int getForeignRecordId()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setForeignRecordId(int)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: java.lang.String getMediaLabel()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setMediaLabel(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: java.lang.String getParentAlbumName()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setParentAlbumName(java.lang.String)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void toggleFavorite()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setFavorite(boolean)>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: boolean isFavorite()>/@this
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void increaseNumberOfViews()>/@this	@ Media
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: int getNumberOfViews()>/@this	@ Media
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setNumberOfViews(int)>/@this	@ Media
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: java.lang.String getTypeMedia()>/@this	@ Photo
lancs.mobilemedia.core.ui.datamodel.MediaData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MediaData: void setTypeMedia(java.lang.String)>/@this	@ Photo
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void startVideo()>/@this
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void stopVideo()>/@this
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,java.io.InputStream,java.lang.String,lancs.mobilemedia.core.ui.controller.AbstractController)>/@this
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void paint(javax.microedition.lcdui.Graphics)>/@this
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void keyPressed(int)>/@this
lancs.mobilemedia.core.ui.screens.PlayVideoScreen::: (Mock)	<lancs.mobilemedia.core.ui.screens.PlayVideoScreen: void setVisibleVideo()>/@this
lancs.mobilemedia.sms.SmsSenderController::: (Mock)	<lancs.mobilemedia.sms.SmsSenderController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,java.lang.String)>/@this	@ x_SMSOrCapturePhotoOrCaptureVideo
lancs.mobilemedia.sms.SmsSenderController::: (Mock)	<lancs.mobilemedia.sms.SmsSenderController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this	@ x_SMSOrCapturePhotoOrCaptureVideo
lancs.mobilemedia.core.ui.datamodel.MusicAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MusicAlbumData: void <init>()>/@this
lancs.mobilemedia.core.ui.datamodel.MusicAlbumData::: (Mock)	<lancs.mobilemedia.core.ui.datamodel.MusicAlbumData: java.io.InputStream getMusicFromRecordStore(java.lang.String,java.lang.String)>/@this	@ x_NotPrivacy
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen,java.lang.String)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: lancs.mobilemedia.core.ui.screens.CaptureVideoScreen getCpVideoScreen()>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.ui.controller.PhotoViewController::: (Mock)	<lancs.mobilemedia.core.ui.controller.PhotoViewController: void setCpVideoScreen(lancs.mobilemedia.core.ui.screens.CaptureVideoScreen)>/@this	@ (((x_NotPrivacy /\ x_NotPrivacy) \/ (x_NotPrivacy /\ (x_NotPrivacy /\ captureVideo))) /\ ((x_MusicOrVideo /\ x_MusicOrVideo) \/ (x_MusicOrVideo /\ (x_MusicOrVideo /\ captureVideo))))
lancs.mobilemedia.core.threads.BaseThread::: (Mock)	<lancs.mobilemedia.core.threads.BaseThread: void <init>()>/@this
lancs.mobilemedia.core.threads.BaseThread::: (Mock)	<lancs.mobilemedia.core.threads.BaseThread: void run()>/@this
lancs.mobilemedia.lib.exceptions.PersistenceMechanismException::: (Mock)	<lancs.mobilemedia.lib.exceptions.PersistenceMechanismException: void <init>(java.lang.String)>/@this
lancs.mobilemedia.lib.exceptions.PersistenceMechanismException::: (Mock)	<lancs.mobilemedia.lib.exceptions.PersistenceMechanismException: void <init>()>/@this
lancs.mobilemedia.lib.exceptions.PersistenceMechanismException::: (Mock)	<lancs.mobilemedia.lib.exceptions.PersistenceMechanismException: void <init>(java.lang.Throwable)>/@this
lancs.mobilemedia.lib.exceptions.PersistenceMechanismException::: (Mock)	<lancs.mobilemedia.lib.exceptions.PersistenceMechanismException: java.lang.Throwable getCause()>/@this
lancs.mobilemedia.core.ui.controller.BaseController::: (Mock)	<lancs.mobilemedia.core.ui.controller.BaseController: void <init>(lancs.mobilemedia.core.ui.MainUIMidlet,lancs.mobilemedia.core.ui.datamodel.AlbumData,lancs.mobilemedia.core.ui.screens.AlbumListScreen)>/@this
lancs.mobilemedia.core.ui.controller.BaseController::: (Mock)	<lancs.mobilemedia.core.ui.controller.BaseController: void init(lancs.mobilemedia.core.ui.datamodel.AlbumData)>/@this
lancs.mobilemedia.core.ui.controller.BaseController::: (Mock)	<lancs.mobilemedia.core.ui.controller.BaseController: boolean handleCommand(javax.microedition.lcdui.Command)>/@this
